14/02/2025 10:45:58: COD:1001-5,Erro interno ao buscar usuários: 42703: column u.PlanId does not exist

POSITION: 99
14/02/2025 11:05:22: COD:1001-2 ,Usuários coletado com sucesso
14/02/2025 11:21:50: COD:1001-5 ,Erro interno do servidor: An error occurred while saving the entity changes. See the inner exception for details.
14/02/2025 11:23:43: COD:1001-5 ,Erro interno do servidor: An error occurred while saving the entity changes. See the inner exception for details.
14/02/2025 11:26:10: COD:1001-2 ,Usuário criado com sucesso
14/02/2025 11:26:29: COD:1001-2 ,Usuários coletado com sucesso
14/02/2025 11:31:41: COD:1001-5 ,Erro interno do servidor: An error occurred while saving the entity changes. See the inner exception for details.
14/02/2025 11:46:41: COD:1001-2 ,Usuários coletado com sucesso
14/02/2025 11:46:51: COD:1006-2 ,Planos coletados com sucesso
14/02/2025 11:48:27: COD:1001-2 ,Usuário criado com sucesso
14/02/2025 11:51:17: COD:1001-2 ,Usuário criado com sucesso
14/02/2025 11:51:42: COD:1001-2 ,Usuários coletado com sucesso
14/02/2025 11:52:13: COD:1001-5 ,Erro interno do servidor: An error occurred while saving the entity changes. See the inner exception for details.
14/02/2025 11:53:36: COD:1001-2 ,Usuários coletado com sucesso
14/02/2025 11:53:48: COD:1001-2 ,Usuário criado com sucesso
14/02/2025 11:53:53: COD:1001-2 ,Usuários coletado com sucesso
14/02/2025 11:54:40: COD:1001-2 ,Usuários coletado com sucesso
